id;name;nickname;gender;age;wins;losses;draws
cameron-olson;Cameron Olson;Cap'n Crunch;male;33;8;3;0
nate-diaz;Nate Diaz;;male;38;22;13;0
brodie-farber;Brodie Farber;;male;42;13;5;0
chris-gutierrez;Chris Gutierrez;El Guapo;male;33;21;5;2
curtis-blaydes;Curtis Blaydes;Razor;male;34;18;5;0
masutatsu-yano;Masutatsu Yano;;male;47;0;0;0
ricky-calatayud;Ricky Calatayud;;male;40;0;0;0
volkan-oezdemir;Volkan Oezdemir;No Time;male;35;20;8;0
alan-omer;Alan Omer;;male;34;18;5;0
jake-hadley;Jake Hadley;White Kong;male;28;11;4;0
mark-khominik-2;Moti Horenstein;60;male;17;0;0;0
dave-strasser;Dave Strasser;;male;53;22;4;4
justin-tafa;Justin Tafa;Bad Man;male;31;7;5;0
hyunsung-park;HyunSung Park;Peace of Mind;male;29;9;0;0
chase-gibson;Chase Gibson;;male;33;0;1;0
rodrigo-damm;Rodrigo Damm;;male;43;12;9;0
rheza-arianto;Rheza Arianto;;male;22;0;0;0
cal-worsham;Cal Worsham;;male;17;0;0;0
sammy-morgan;Sammy Morgan;The Squeeze;male;41;18;7;0
pingyuan-liu;Pingyuan Liu;;male;30;13;7;0
ketlen-vieira;Ketlen Vieira;Fenomeno;female;33;14;4;0
jinh-yu-frey;Jinh Yu Frey;;female;38;11;10;0
lauren-murphy;Lauren Murphy;Lucky;female;39;16;6;0
jodie-esquibel;Jodie Esquibel;;female;37;6;6;0
jamey-lyn-horth;Jamey-Lyn Horth;;female;34;7;2;0
amanda-ribas;Amanda Ribas;;female;31;12;6;0
kelly-faszholz;Kelly Faszholz;;female;39;3;2;0
ji-yeon-kim;Ji Yeon Kim;Firefist;female;33;9;7;2
priscila-cachoeira;Priscila Cachoeira;Zombie Girl;female;36;12;6;0
jasmine-jasudavicius;Jasmine Jasudavicius;;female;36;13;3;0
sheila-gaff;Sheila Gaff;The German Tank;female;33;10;6;1
emily-whitmire;Emily Whitmire;Spitfire;female;33;4;5;0
shayna-baszler;Shayna Baszler;The Queen of Spades;female;42;15;10;0
cheyanne-vlismas;Cheyanne Vlismas;The Warrior Princess;female;27;7;3;0
joanna-jedrzejczyk;Joanna JÄ™drzejczyk;;female;36;16;5;0
alexis-dufresne;Alexis Dufresne;Sneaky Zebra;female;35;5;2;0
luana-pinheiro;Luana Pinheiro;;female;32;11;4;0
norma-dumont;Norma Dumont;The Immortal;female;34;12;2;0
marion-reneau;Marion Reneau;The Belizean Bruiser;female;46;9;8;1
shauna-bannon;Shauna Bannon;Mama B;female;31;6;1;0
